Data from Matlab    Data from Simulation    Results
0000000078E04BEC    0000000078E04BEC        TRUE      
FFFFFFFFB03ADF82    FFFFFFFFB03ADF82        TRUE      
FFFFFFFF8587A77D    FFFFFFFF8587A77D        TRUE      
0000000025FA82B5    0000000025FA82B5        TRUE      
000000007FE5109A    000000007FE5109A        TRUE      
000000000B64E33B    000000000B64E33B        TRUE      
000000006F900271    000000006F900271        TRUE      
FFFFFFFF837CA36C    FFFFFFFF837CA36C        TRUE      
FFFFFFFFCCAA8A69    FFFFFFFFCCAA8A69        TRUE      
0000000010E29E84    0000000010E29E84        TRUE      
0000000084261996    0000000084261996        TRUE      
FFFFFFFFC11604CC    FFFFFFFFC11604CC        TRUE      
FFFFFFFF684B1B8C    FFFFFFFF684B1B8C        TRUE      
000000003244988D    000000003244988D        TRUE      
FFFFFFFF8790394A    FFFFFFFF8790394A        TRUE      
00000000AA07E745    00000000AA07E745        TRUE      
FFFFFFFF86299088    FFFFFFFF86299088        TRUE      
000000009F779BE1    000000009F779BE1        TRUE      
FFFFFFFF63571643    FFFFFFFF63571643        TRUE      
FFFFFFFF5D9E383B    FFFFFFFF5D9E383B        TRUE      
0000000051D09059    0000000051D09059        TRUE      
000000000D9C278E    000000000D9C278E        TRUE      
00000000271C85AD    00000000271C85AD        TRUE      
FFFFFFFFE93A8711    FFFFFFFFE93A8711        TRUE      
FFFFFFFFC84E2040    FFFFFFFFC84E2040        TRUE      
00000000007A64AF    00000000007A64AF        TRUE      
FFFFFFFF6653F250    FFFFFFFF6653F250        TRUE      
FFFFFFFF4CF4FC24    FFFFFFFF4CF4FC24        TRUE      
FFFFFFFF199F0368    FFFFFFFF199F0368        TRUE      
FFFFFFFFA431D1AC    FFFFFFFFA431D1AC        TRUE      
FFFFFFFFBC1EDE37    FFFFFFFFBC1EDE37        TRUE      
FFFFFFFFF4DB3B31    FFFFFFFFF4DB3B31        TRUE      
FFFFFFFFF108C8C2    FFFFFFFFF108C8C2        TRUE      
0000000068CB6A3D    0000000068CB6A3D        TRUE      
00000000409BB03F    00000000409BB03F        TRUE      
FFFFFFFFF3302D34    FFFFFFFFF3302D34        TRUE      
000000009F72DB9D    000000009F72DB9D        TRUE      
0000000037614B0F    0000000037614B0F        TRUE      
0000000071997312    0000000071997312        TRUE      
00000000BE8E83E0    00000000BE8E83E0        TRUE      
0000000105A300AE    0000000105A300AE        TRUE      
FFFFFFFF94599761    FFFFFFFF94599761        TRUE      
0000000115E6A1AD    0000000115E6A1AD        TRUE      
FFFFFFFFE69292C8    FFFFFFFFE69292C8        TRUE      
00000000626B588C    00000000626B588C        TRUE      
FFFFFFFF8B52D013    FFFFFFFF8B52D013        TRUE      
FFFFFFFFAC891676    FFFFFFFFAC891676        TRUE      
FFFFFFFFAC693871    FFFFFFFFAC693871        TRUE      
00000000CE001120    00000000CE001120        TRUE      
FFFFFFFFF23A0E23    FFFFFFFFF23A0E23        TRUE      
0000000101F80946    0000000101F80946        TRUE      
000000005C6F7269    000000005C6F7269        TRUE      
00000000325C02EE    00000000325C02EE        TRUE      
FFFFFFFFF59823F2    FFFFFFFFF59823F2        TRUE      
FFFFFFFF655D01D0    FFFFFFFF655D01D0        TRUE      
FFFFFFFF9354E1AA    FFFFFFFF9354E1AA        TRUE      
FFFFFFFF8004716D    FFFFFFFF8004716D        TRUE      
0000000076254608    0000000076254608        TRUE      
FFFFFFFFFE7A1C89    FFFFFFFFFE7A1C89        TRUE      
FFFFFFFFCC72A0B5    FFFFFFFFCC72A0B5        TRUE      
